1712350;c1003,b2002;9,8;13
1712351;b2004,d3003;20,0;13
1712352;b2003,c1005,c1004,sub1_L03;8,9,10,-1;13
1712353;b2002,d3004,d3005;-1,0,0;13
1712354;b2001,c1002,b2005;6,7,7;13
1712355;c1005,b2005,b2001;9,8,8;13
1712356;a2008,a2009,b2002;4,8,-1;13
1712357;c1003,b2002,a2003;10,9,9;13
1712358;a2002,b2003,c1003;5,4,6;13
1712359;d3002,b2002,c1005;8,6,7;13
1712360;d3005,a2005,d3002;3,8,9;13
1712361;d3004,b2003,d3003;4,2,-1;13
1712371;d3002,d3004,b2002;3,-1,5;13
1712372;b2005,a2007,d3001;2,6,9;13
1712373;c1005,b2002,c1001;3,5,4;13
1712374;a2004,b2001,c1004;6,2,7;13
1712375;a2001,d3001,b2003,sub1_L03;7,4,5,-1;13
1712376;a2001,d3002,b2001;8,8,7;13
1712377;a2010,a2001,d3001;5,9,6;13
1712378;a2001,d3002,a2010;9,8,7;13
1712379;b2005,a2009,c1005;6,7,8;13
1712486;a2005,c1003,c1001;10,6,9;13
1712487;b2004,c1005,c1002;20,4,-1;13
1712488;b2003,a2001,c1002;8,9,8;13
1712489;b2002,d3002,c1002;2,3,6;13
1712490;a2006,c1002,d3005;0,0,0;13
1712491;c1004,c1001,b2002;2,3,5;13
1712492;c1003,a2001,c1002;8,4,6;13
1712493;a2007,d3004,d3001;9,3,-1;13
1712494;b2001,a2006,d3005;10,8,9;13
1712494;b2001,a2006,d3005;10,8,9;13
1712494;b2001,a2006,d3005;10,8,9;13
1712494;b2001,a2006,d3005;10,8,9;13
